;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;water;R1234yf
1;10.0;kg / s;0.13226980601293525;m3 / s;30.0;bar;685.1316755128377;kJ / kg;300.0000000000982;C;211.32978948358902;C;0.013226980601293526;m3 / kg;-1.0;-;2222.3924907776122;J / kgK;nan;1.0
2;10.0;kg / s;0.405096322043827;m3 / s;7.0;bar;497.3655500661528;kJ / kg;136.8053102036605;C;110.90461275123056;C;0.0405096322043827;m3 / kg;-1.0;-;1938.938050305918;J / kgK;nan;1.0
3;10.0;kg / s;0.009163758741227369;m3 / s;6.86;bar;233.74745376210103;kJ / kg;25.17808904570427;C;0.0;C;0.0009163758741227368;m3 / kg;0.0;-;1116.9758395968554;J / kgK;nan;1.0
4;10.0;kg / s;0.009086652121403185;m3 / s;30.612244897959187;bar;236.63465806295062;kJ / kg;27.26626902135115;C;-62.420365720101415;C;0.0009086652121403185;m3 / kg;-1.0;-;1119.3806196813523;J / kgK;nan;1.0
0;10.0;kg / s;0.07581695173263776;m3 / s;30.0;bar;475.38478060116046;kJ / kg;136.8139473299994;C;48.14373681349019;C;0.007581695173263776;m3 / kg;-1.0;-;1791.9836609989702;J / kgK;nan;1.0
11;126.05743724143449;kg / s;0.12628276292725682;m3 / s;1.2;bar;84.02487503149347;kJ / kg;19.99999999997732;C;-84.78354962913448;C;0.0010017874842671185;m3 / kg;-1.0;-;296.45896694119614;J / kgK;1.0;nan
12;126.05743724143449;kg / s;0.126429638337765;m3 / s;1.2;bar;104.9374131627543;kJ / kg;25.000000000000057;C;-79.78354962911175;C;0.0010029526309948507;m3 / kg;-1.0;-;367.1948228333963;J / kgK;1.0;nan
21;1.9086134057522712;kg / s;1.8319929077784771;m3 / s;2.0;bar;2769.0980583587525;kJ / kg;150.00000000000006;C;29.78990867202822;C;0.959855412446087;m3 / kg;-1.0;-;7281.001365649366;J / kgK;1.0;nan
22;1.9086134057522712;kg / s;0.0019914677042245374;m3 / s;2.0;bar;419.24021864021626;kJ / kg;99.99999999999983;C;-20.21009132797201;C;0.0010434107285543295;m3 / kg;-1.0;-;1307.1339392588914;J / kgK;1.0;nan
