;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;water
1;20.0;kg / s;0.49842086568760846;m3 / s;150.0;bar;3583.1317614605978;kJ / kg;599.9999999871762;C;257.84460779539734;C;0.024921043284380422;m3 / kg;-1.0;-;6679.589593735552;J / kgK;1
2;20.0;kg / s;450.94942645833726;m3 / s;0.05325057914086291;bar;2197.1139071934117;kJ / kg;33.99999999999392;C;0.0;C;22.547471322916863;m3 / kg;0.8489288493379358;-;7180.979741244903;J / kgK;1
3;20.0;kg / s;0.02011403381849804;m3 / s;0.05325057914086282;bar;142.45405394044667;kJ / kg;33.99999999999375;C;0.0;C;0.001005701690924902;m3 / kg;0.0;-;491.5450895990785;J / kgK;1
4;20.0;kg / s;0.019981048599379755;m3 / s;166.66666666666663;bar;164.71598888774014;kJ / kg;35.76923855356182;C;-314.9050322348681;C;0.0009990524299689878;m3 / kg;-1.0;-;509.6003966327794;J / kgK;1
0;20.0;kg / s;0.49842086568760846;m3 / s;150.0;bar;3583.1317614605978;kJ / kg;599.9999999871762;C;257.84460779539734;C;0.024921043284380422;m3 / kg;-1.0;-;6679.589593735552;J / kgK;1
11;982.7974285571007;kg / s;0.9845541634984336;m3 / s;1.2;bar;84.02487503152153;kJ / kg;20.0;C;-84.7835496291118;C;0.0010017874842671414;m3 / kg;-1.0;-;296.4589669416159;J / kgK;1
12;982.7974285571007;kg / s;0.9870846250131142;m3 / s;1.176;bar;125.83735425767347;kJ / kg;29.999999999967997;C;-74.20171975633593;C;0.00100436223816978;m3 / kg;-1.0;-;436.7203236427202;J / kgK;1
